,State.Name,latitude,longitude
1,AN,11.66702557,92.73598262
2,AP   ,14.7504291,78.57002559
3,AR    ,27.10039878,93.61660071
4,AS,26.7499809,94.21666744
5,BR,25.78541445,87.4799727
6,CH ,30.71999697,76.78000565
7,CT,22.09042035,82.15998734
8,DN,20.26657819,73.0166178
9,DL,28.6699929,77.23000403
10,GA,15.491997,73.81800065
11,GR,28.45000633,77.01999101
12,HP,31.10002545,77.16659704
13,JK,34.29995933,74.46665849
14,JH,23.80039349,86.41998572
15,KA,12.57038129,76.91999711
16,KL,8.900372741,76.56999263
17,LD,10.56257331,72.63686717
18,MP,21.30039105,76.13001949
19,MH,19.25023195,73.16017493
20,MN,24.79997072,93.95001705
21,ML,25.57049217,91.8800142
22,MZ,23.71039899,92.72001461
23,NL,25.6669979,94.11657019
24,OR,19.82042971,85.90001746
25,PY,11.93499371,79.83000037
26,PB,31.51997398,75.98000281
27,RJ,26.44999921,74.63998124
28,SK,27.3333303,88.6166475
29,TN,12.92038576,79.15004187
30,TR,23.83540428,91.27999914
31,UP,27.59998069,78.05000565
32,UT,30.32040895,78.05000565
33,WB,22.58039044,88.32994665
